,Unnamed: 0,Brand,Current Price,Original Price,Discount Percentage,Rating,Number OF Ratings,Dial Shape,Strap Color,Strap Material,Touchscreen,Battery Life (Days),Bluetooth,Display Size,Weight
50,50,samsung,17999.0,19990.0,9.95997999,4.3,5228.0,Circle,Black,Other,Yes,3.6,Yes,4.4,27.5
51,51,samsung,18000.0,34999.0,48.56995914,4.3,5228.0,Circle,Black,Other,Yes,3.5,Yes,1.4,75.0
52,52,garmin,16990.0,22490.0,24.45531347,4.3,312.0,Circle,Black,Silicon,Yes,22.0,Yes,1.3,42.5
53,53,garmin,27990.0,36490.0,23.29405317,4.5,4339.0,Circle,Black,Other,Yes,17.5,Yes,1.3,20.0
54,54,garmin,3999.0,7999.0,15.0,3.7,6.0,Circle,Black,Other,Yes,22.0,Yes,35.9,42.5
55,55,garmin,18990.0,27990.0,32.15434084,4.3,19.0,Circle,Black,Other,Yes,17.5,Yes,1.3,20.0
56,56,garmin,3999.0,7999.0,15.0,5.0,1.0,Circle,Black,Other,Yes,22.0,Yes,35.9,42.5
57,57,garmin,34990.0,51990.0,32.69859588,4.3,19.0,Circle,Black,Carbon-Fiber;,Yes,8.0,Yes,1.3,42.5
58,58,garmin,3999.0,7999.0,15.0,3.8,38.0,Circle,Black,Stainless Steel,Yes,8.0,Yes,30.0,75.0
59,59,garmin,20990.0,25990.0,19.23816853,4.3,127.0,Circle,Black,Other,Yes,17.5,Yes,1.3,20.0
60,60,garmin,18990.0,20490.0,7.320644217,3.5,7.0,Circle,Black,Other,Yes,17.5,Yes,1.3,27.5
61,61,garmin,78490.0,89460.0,12.26246367,4.4,6.0,Circle,Black,Other,Yes,17.5,Yes,1.3,20.0
62,62,huawei,26581.0,42513.0,37.4755957,4.7,830.0,Circle,Black,Other,Yes,8.0,Yes,1.4,42.5
63,63,huawei,16499.0,29999.0,45.00150005,4.7,7108.0,Circle,Black,Other,Yes,8.0,Yes,1.4,42.5
64,64,huawei,6400.0,11999.0,46.66222185,4.5,49.0,Circle,Black,Other,Yes,8.0,Yes,0.5,75.0
65,65,noise,3799.0,7999.0,52.50656332,3.8,545.0,Rectangle,Black,Other,Yes,8.0,Yes,1.7,42.5
66,66,dizo,2126.0,5999.0,64.56076013,3.7,18.0,Rectangle,Black,Other,Yes,8.0,Yes,1.9,27.5
67,67,dizo,2126.0,5999.0,64.56076013,3.7,18.0,Rectangle,Black,Other,Yes,8.0,Yes,1.9,27.5
68,68,dizo,2999.0,1669.0,-79.68843619,4.0,2.0,Rectangle,Black,Other,Yes,22.0,Yes,1.8,75.0
69,69,dizo,3999.0,7999.0,48.0,2.4,7.0,Rectangle,Black,Other,Yes,22.0,Yes,1.8,75.0
70,70,dizo,2126.0,5999.0,64.56076013,3.7,18.0,Rectangle,Black,Other,Yes,8.0,Yes,1.9,27.5
71,71,fire-boltt,3999.0,7999.0,65.0,4.3,39274.0,Square,Black,Silicon,Yes,3.5,Yes,1.3,42.5
72,72,dizo,4299.0,6999.0,38.57693956,2.5,2.0,Rectangle,Black,Other,Yes,8.0,Yes,1.8,75.0
73,73,fire-boltt,1299.0,9999.0,87.00870087,4.2,25784.0,Square,Black,Silicon,Yes,8.0,Yes,1.7,42.5
74,74,fire-boltt,1799.0,9999.0,82.00820082,4.2,33415.0,Square,Black,Silicon,Yes,8.0,Yes,1.3,62.5
75,75,noise,1799.0,4999.0,64.01280256,4.1,13901.0,Rectangle,Black,Other,Yes,8.0,Yes,1.7,42.5
76,76,gizmore,1699.0,5499.0,69.10347336,2.7,10.0,Square,Black,Other,Yes,3.5,Yes,1.9,75.0
77,77,gizmore,1599.0,5999.0,73.34555759,4.3,37.0,Square,Black,Other,Yes,12.5,Yes,1.7,75.0
78,78,gizmore,1499.0,5999.0,75.01250208,4.0,69.5,Square,Black,Other,Yes,3.5,Yes,1.9,75.0
79,79,gizmore,1699.0,7999.0,78.75984498,2.0,5.0,Square,Black,Other,Yes,3.5,Yes,1.7,62.5
80,80,gizmore,3299.0,5999.0,45.00750125,4.0,102.0,Square,Black,Other,Yes,8.0,Yes,1.3,75.0
81,81,gizmore,1499.0,5999.0,75.01250208,3.0,2.0,Square,Black,Other,Yes,3.5,Yes,1.9,75.0
82,82,gizmore,3299.0,5999.0,45.00750125,4.0,102.0,Square,Black,Plastic,Yes,12.5,Yes,1.3,75.0
83,83,gizmore,1699.0,5499.0,69.10347336,2.5,3.0,Square,Black,Other,Yes,3.5,Yes,1.9,75.0
84,84,ambrane,2368.0,4499.0,47.36608135,3.5,301.0,Square,Black,Other,Yes,12.5,Yes,1.3,42.5
85,85,ambrane,2199.0,4999.0,56.01120224,3.9,256.0,Square,Black,Other,Yes,8.0,Yes,1.3,42.5
86,86,fire-boltt,1799.0,2199.0,18.1900864,4.3,39274.0,Square,Black,Silicon,Yes,3.5,Yes,1.3,42.5
87,87,fire-boltt,1999.0,7999.0,75.00937617,4.1,33012.0,Square,Black,Silicon,Yes,8.0,Yes,1.7,42.5
88,88,zebronics,1799.0,6499.0,72.31881828,3.8,2138.0,Square,Black,Other,Yes,3.5,Yes,4.3,42.5
89,89,noise,1799.0,3999.0,55.01375344,4.0,32704.0,Rectangle,Black,Other,Yes,8.0,Yes,1.7,42.5
